"id","country","variety","points","price","province","region01"
244,"France","Bordeaux-style White Blend",88,"13","Bordeaux","Bordeaux Blanc"
261,"France","Chenin Blanc-Chardonnay",88,NULL,"Loire Valley","Crémant de Loire"
265,"France","Sauvignon Blanc",88,"23","Loire Valley","Sancerre"
270,"France","Pinot Noir",92,"92","Burgundy","Beaune"
271,"France","Chardonnay",92,"94","Burgundy","Chassagne-Montrachet"
282,"France","Malbec",92,NULL,"Southwest France","Cahors"
283,"France","Bordeaux-style Red Blend",92,"30","Bordeaux","Graves"
286,"France","Chardonnay",91,"60","Burgundy","Santenay"
287,"France","Bordeaux-style Red Blend",91,"16","Southwest France","Côtes du Tarn"
288,"France","Chardonnay",91,"40","Burgundy","Pouilly-Fuissé"
290,"France","Pinot Noir",91,"100","Burgundy","Clos de Vougeot"
294,"France","Gros and Petit Manseng",91,NULL,"Southwest France","Juran√ßon Sec"
318,"France","Tannat-Cabernet",94,"35","Southwest France","Madiran"
320,"France","Provence red blend",94,"44","Provence","Bandol"
322,"France","Rosé",94,"20","Provence","Coteaux d'Aix-en-Provence"
325,"France","Provence red blend",94,"44","Provence","Bandol"
327,"France","Rosé",94,"100","Provence","Côtes de Provence"
328,"France","Malbec",94,"70","Southwest France","Cahors"
352,"France","Chardonnay",91,"54","Champagne","Champagne"
363,"France","Pinot Noir",90,"33","Alsace","Alsace"
364,"France","Pinot Noir",90,"70","Burgundy","Gevrey-Chambertin"
368,"France","Sylvaner",90,"27","Alsace","Alsace"
369,"France","Chasselas",90,"22","Alsace","Alsace"
370,"France","Alsace white blend",90,"30","Alsace","Alsace"
373,"France","Pinot Noir",90,"80","Burgundy","Pommard"
396,"France","Pinot Noir",90,NULL,"Loire Valley","Sancerre"
404,"France","Rhône-style Red Blend",90,"27","Rhône Valley","Côtes du Rhône Villages"
405,"France","Rhône-style Red Blend",90,"20","Rhône Valley","Châteauneuf-du-Pape"
427,"France","Bordeaux-style Red Blend",87,NULL,"Bordeaux","Médoc"
434,"France","Bordeaux-style White Blend",87,NULL,"Bordeaux","Graves"
466,"France","White Blend",86,"10","Southwest France","Côtess de Gascogne"
476,"France","Semillon-Sauvignon Blanc",86,"15","Southwest France","Bergerac Sec"
482,"France","Grenache-Syrah",89,"11","Rhône Valley","Côtes du Rhône"
484,"France","Red Blend",89,"19","Southwest France","Gaillac"
485,"France","White Blend",89,"28","Southwest France","Gaillac"
491,"France","Negrette",89,NULL,"Southwest France","Fronton"
500,"France","Grenache-Syrah",89,"15","Rhône Valley","Côtes du Rhône"
511,"France","Riesling",92,NULL,"Alsace","Alsace"
1982,"France","Rosé",88,"25","Loire Valley","Sancerre"
525,"France","Riesling",92,"29","Alsace","Alsace"
526,"France","Riesling",92,"63","Alsace","Alsace"
533,"France","Bordeaux-style Red Blend",92,"18","Bordeaux","Blaye Côtes de Bordeaux"
535,"France","Riesling",92,NULL,"Alsace","Alsace"
543,"France","Pinot Noir",90,"50","Burgundy","Beaune"
544,"France","Pinot Noir",90,"45","Burgundy","Morey-Saint-Denis"
550,"France","Chardonnay",90,"59","Burgundy","Beaune"
551,"France","Sylvaner",90,"24","Alsace","Alsace"
552,"France","Pinot Noir",90,NULL,"Burgundy","Marsannay"
553,"France","White Blend",90,"20","Alsace","Alsace"
554,"France","Pinot Blanc",90,"20","Alsace","Alsace"
572,"France","Red Blend",94,"25","Southwest France","Madiran"
577,"France","Tannat-Cabernet",94,"40","Southwest France","Madiran"
580,"France","Malbec-Merlot",93,"25","Southwest France","Cahors"
599,"France","Provence red blend",93,"36","Provence","Bandol"
615,"France","Pinot Noir",91,NULL,"Burgundy","Corton"
627,"France","Bordeaux-style Red Blend",91,"25","Bordeaux","Haut-Médoc"
629,"France","Chardonnay",91,"60","Burgundy","Côtes de Nuits Villages"
643,"France","Malbec",90,"25","Southwest France","Cahors"
647,"France","Red Blend",90,"13","Southwest France","Côtes de Gascogne"
648,"France","Chardonnay",90,"45","Burgundy","Chablis"
661,"France","Sauvignon Blanc",88,"27","Loire Valley","Sancerre"
663,"France","Sauvignon Blanc",88,"35","Loire Valley","Sancerre"
666,"France","Bordeaux-style Red Blend",88,"26","Bordeaux","Côtes de Bourg"
668,"France","Sauvignon Blanc",88,"25","Loire Valley","Pouilly-Fumé"
672,"France","Sauvignon Blanc",88,"28","Loire Valley","Sancerre"
679,"France","Bordeaux-style White Blend",88,"25","Bordeaux","Pessac-Léognan"
680,"France","Bordeaux-style White Blend",88,NULL,"Bordeaux","Pessac-Léognan"
681,"France","Bordeaux-style White Blend",88,NULL,"Bordeaux","Pessac-Léognan"
682,"France","Bordeaux-style White Blend",88,"18","Bordeaux","Bordeaux Blanc"
684,"France","Bordeaux-style White Blend",88,NULL,"Bordeaux","Pessac-Léognan"
688,"France","Pinot Noir",88,"20","Loire Valley","Menetou-Salon"
719,"France","Rosé",90,"24","Rhône Valley","Tavel"
726,"France","Rosé",85,"9","Southwest France","Bergerac Rosé"
727,"France","Red Blend",85,"16","Southwest France","Côtes du Tarn"
729,"France","Pinot Noir-Gamay",85,"18","Burgundy","Coteaux Bourguignons"
732,"France","Rosé",85,"12","Southwest France","Côtes du Lot"
733,"France","Malbec",85,"14","Southwest France","Cahors"
745,"France","Rhône-style Red Blend",85,"11","Rhône Valley","Côtes du Rhône"
750,"France","Malbec",89,NULL,"Southwest France","Cahors"
755,"France","Gros Manseng",89,"14","Southwest France","Côtes de Gascogne"
779,"France","White Blend",89,"20","Southwest France","Côtes du Lot"
785,"France","Bordeaux-style Red Blend",87,NULL,"Bordeaux","Pessac-Léognan"
786,"France","Bordeaux-style White Blend",87,NULL,"Bordeaux","Graves"
787,"France","Bordeaux-style Red Blend",87,"35","Bordeaux","Pessac-Léognan"
788,"France","Bordeaux-style Red Blend",87,NULL,"Bordeaux","Pessac-Léognan"
789,"France","Bordeaux-style Red Blend",87,"30","Bordeaux","Bordeaux Supérieur"
795,"France","Bordeaux-style Red Blend",87,NULL,"Bordeaux","Médoc"
809,"France","Bordeaux-style Red Blend",87,"10","Bordeaux","Bordeaux"
815,"France","Chardonnay",90,"59","Burgundy","Beaune"
816,"France","Sylvaner",90,"24","Alsace","Alsace"
817,"France","Pinot Noir",90,NULL,"Burgundy","Marsannay"
818,"France","White Blend",90,"20","Alsace","Alsace"
819,"France","Pinot Blanc",90,"20","Alsace","Alsace"
16171,"France","Rosé",88,NULL,"Provence","Côtes de Provence"
847,"France","Chardonnay",90,"45","Burgundy","Chassagne-Montrachet"
848,"France","Romorantin",90,"20","Loire Valley","Cour-Cheverny"
849,"France","Sauvignon Blanc",90,NULL,"Loire Valley","Sancerre"
853,"France","Pinot Noir",90,"80","Burgundy","Aloxe-Corton"
854,"France","Sauvignon Blanc",90,"19","Loire Valley","Pouilly-Fumé"
857,"France","Rosé",90,"24","Rhône Valley","Tavel"
875,"France","Riesling",92,"30","Alsace","Alsace"
884,"France","Riesling",92,"24","Alsace","Alsace"
899,"France","Gewurztraminer",92,"55","Alsace","Alsace"
903,"France","Tannat-Cabernet",93,"65","Southwest France","Madiran"
907,"France","Rosé",93,"50","Provence","Côtes de Provence Sainte-Victoire"
908,"France","Rosé",93,"34","Provence","Côtes de Provence"
909,"France","Malbec",93,"50","Southwest France","Cahors"
910,"France","Rosé",93,"30","Provence","Côtes de Provence La Londe"
911,"France","Rosé",93,"40","Provence","Côtes de Provence"
922,"France","Tannat-Merlot",93,"25","Southwest France","Côtes de Gascogne"
934,"France","Duras",89,"18","Southwest France","Gaillac"
937,"France","White Blend",89,"20","Southwest France","Côtes du Lot"
997,"France","Sauvignon Blanc",85,"15","Southwest France","Côtes de Gascogne"
998,"France","White Blend",85,"9","Southwest France","Côtes de Gascogne"
1009,"France","Rhône-style White Blend",85,"16","Rhône Valley","Côtes du Rhône"
1012,"France","Rosé",85,"16","Southwest France","Côtes du Tarn"
1013,"France","Bordeaux-style White Blend",85,"12","Southwest France","Côtes de Bergerac"
1014,"France","Chardonnay",85,"15","Southwest France","Côtes de Gascogne"
1017,"France","White Blend",85,"12","Burgundy","Coteaux Bourguignons"
1024,"France","Gamay",91,"24","Beaujolais","Morgon"
1034,"France","Bordeaux-style Red Blend",91,NULL,"Bordeaux","Saint-√âmilion"
1035,"France","Gamay",91,NULL,"Beaujolais","Morgon"
1070,"France","Bordeaux-style Red Blend",88,"15","Bordeaux","Côtes de Bourg"
1073,"France","Sauvignon Blanc",88,"37","Loire Valley","Sancerre"
1075,"France","Sauvignon Blanc",88,NULL,"Loire Valley","Sancerre"
1087,"France","Bordeaux-style Red Blend",87,"20","Bordeaux","Médoc"
1088,"France","Bordeaux-style Red Blend",87,NULL,"Bordeaux","Médoc"
1090,"France","Bordeaux-style Red Blend",87,"35","Bordeaux","Moulis-en-Médoc"
1091,"France","Bordeaux-style Red Blend",87,NULL,"Bordeaux","Pessac-Léognan"
1092,"France","Bordeaux-style Red Blend",87,"20","Bordeaux","Bordeaux Supérieur"
1101,"France","Bordeaux-style Red Blend",87,"27","Bordeaux","Listrac-Médoc"
17085,"France","Rosé",87,"12","Provence","Côtes de Provence"
1116,"France","Chardonnay",90,NULL,"Burgundy","Marsannay"
1117,"France","Pinot Noir",90,"56","Burgundy","Mercurey"
1118,"France","Pinot Noir",90,NULL,"Burgundy","Marsannay"
1124,"France","Pinot Noir",90,"35","Alsace","Alsace"
1126,"France","Pinot Noir",90,"70","Burgundy","Beaune"
1134,"France","Pinot Blanc",90,"15","Alsace","Alsace"
1135,"France","Pinot Auxerrois",90,"45","Alsace","Alsace"
1136,"France","Pinot Blanc",90,"21","Alsace","Alsace"
1152,"France","Pinot Noir",90,"35","Loire Valley","Sancerre"
1168,"France","Chardonnay",90,"43","Burgundy","Saint-Aubin"
1172,"France","Malbec",93,"40","Southwest France","Cahors"
1173,"France","Tannat-Cabernet",93,"20","Southwest France","Madiran"
1192,"France","Rosé",93,"52","Provence","Bandol"
1211,"France","Chardonnay",90,"141","Burgundy","Puligny-Montrachet"
1212,"France","Chardonnay",90,"74","Burgundy","Meursault"
1222,"France","Champagne Blend",90,"65","Champagne","Champagne"
1230,"France","Riesling",92,"34","Alsace","Alsace"
1235,"France","Riesling",92,"25","Alsace","Alsace"
1236,"France","Riesling",92,"30","Alsace","Alsace"
1237,"France","Riesling",92,"47","Alsace","Alsace"
1238,"France","Riesling",92,"49","Alsace","Alsace"
1239,"France","Riesling",92,"26","Alsace","Alsace"
1241,"France","Bordeaux-style Red Blend",92,"65","Bordeaux","Lalande de Pomerol"
1242,"France","Bordeaux-style Red Blend",92,"40","Bordeaux","Margaux"
1259,"France","Bordeaux-style Red Blend",92,"65","Bordeaux","Lalande de Pomerol"
1263,"France","Rhône-style White Blend",85,"63","Rhône Valley","Châteauneuf-du-Pape"
1267,"France","Chardonnay",85,NULL,"Burgundy","M√¢con-Villages"
1269,"France","Colombard-Sauvignon Blanc",85,"11","Southwest France","Côtes de Gascogne"
1270,"France","Malbec-Merlot",85,"9","Southwest France",NULL
1271,"France","Malbec",85,"12","Southwest France","Cahors"
1280,"France","Marsanne",85,"13","Rhône Valley","Collines Rh√¥daniennes"
1282,"France","Malbec",85,"17","Southwest France","Cahors"
1287,"France","White Blend",85,"9","Southwest France",NULL
1291,"France","Bordeaux-style Red Blend",87,"35","Bordeaux","Moulis-en-Médoc"
1292,"France","Bordeaux-style Red Blend",87,NULL,"Bordeaux","Pessac-Léognan"
1293,"France","Bordeaux-style Red Blend",87,"20","Bordeaux","Bordeaux Supérieur"
1312,"France","Bordeaux-style Red Blend",87,"30","Bordeaux","Haut-Médoc"
1313,"France","Bordeaux-style Red Blend",87,NULL,"Bordeaux","Bordeaux"
1314,"France","Bordeaux-style Red Blend",87,"40","Bordeaux","Saint-Estèphe"
1315,"France","Bordeaux-style Red Blend",87,"13","Bordeaux","Côtes de Bourg"
1316,"France","Bordeaux-style Red Blend",87,"19","Bordeaux","Médoc"
1317,"France","Bordeaux-style Red Blend",87,"25","Bordeaux","Listrac-Médoc"
1323,"France","Red Blend",89,"22","Southwest France","Côtes du Marmandais"
1325,"France","Malbec",89,"26","Southwest France","Cahors"
1327,"France","Red Blend",89,"13","Southwest France","Fronton"
1334,"France","Gros and Petit Manseng",88,NULL,"Southwest France","Juran√ßon"
1341,"France","Malbec",88,"18","Southwest France","Cahors"
1350,"France","Tannat",91,NULL,"Southwest France","Madiran"
1358,"France","Chardonnay",91,"78","Burgundy","Chassagne-Montrachet"
1360,"France","Pinot Noir",91,"65","Burgundy","Gevrey-Chambertin"
1364,"France","Bordeaux-style Red Blend",91,NULL,"Bordeaux","Saint-√âmilion"
1365,"France","Viognier",91,"30","Southwest France","Côtes du Lot"
1366,"France","Bordeaux-style Red Blend",91,NULL,"Bordeaux","Médoc"
1367,"France","Bordeaux-style Red Blend",91,"22","Bordeaux","Moulis-en-Médoc"
1370,"France","Chardonnay",91,"60","Burgundy","Savigny-l√®s-Beaune"
1371,"France","Bordeaux-style Red Blend",91,"40","Southwest France","Côtes du Tarn"
1372,"France","Petit Manseng",91,NULL,"Southwest France","Juran√ßon"
1376,"France","Pinot Noir",91,"74","Burgundy","Volnay"
1384,"France","Sauvignon Blanc",88,"15","Bordeaux","Bordeaux Blanc"
1390,"France","Sauvignon Blanc",88,"22","Loire Valley","Pouilly-Fumé"
1396,"France","Melon",88,"12","Loire Valley","MUnited Statescadet Sèvre et Maine"
1424,"France","Sylvaner",90,"17","Alsace","Alsace"
1429,"France","Sylvaner",90,"15","Alsace","Alsace"
1443,"France","Chardonnay",90,"50","Burgundy","Bourgogne Hautes Côtes de Beaune"
1446,"France","Sauvignon Blanc",90,"20","Loire Valley","Menetou-Salon"
1486,"France","Malbec-Merlot",90,"50","Southwest France","Cahors"
1450,"France","White Blend",90,"32","France Other","Vin de France"
1451,"France","Rosé",90,"19","Rhône Valley","Côtes du Rhône"
1466,"France","Rosé",90,"17","Rhône Valley","Tavel"
1484,"France","Bordeaux-style White Blend",90,"13","Southwest France","Monbazillac"
1485,"France","Melon",90,"16","Loire Valley","MUnited Statescadet Sèvre et Maine"
1487,"France","Bordeaux-style Red Blend",90,"19","Southwest France","Montravel"
1488,"France","Tannat-Cabernet Franc",90,"13","Southwest France","Madiran"
1504,"France","Gros Manseng",92,"26","Southwest France","Pacherenc du Vic Bilh"
1505,"France","Rosé",92,"45","Provence","Côtes de Provence"
1506,"France","Rosé",92,NULL,"Provence","Bandol"
1507,"France","Tannat",92,"25","Southwest France","Madiran"
1519,"France","Rosé",92,"59","Provence","Côtes de Provence"
1520,"France","Red Blend",92,"28","Southwest France","Fronton"
1537,"France","Malbec",85,"9","Southwest France",NULL
1544,"France","Rhône-style White Blend",84,"14","Rhône Valley","Côtes du Rhône"
1550,"France","Bordeaux-style White Blend",84,"12","Southwest France","Côtes de Bergerac"
1571,"France","Riesling",91,"14","Alsace","Alsace"
1572,"France","Pinot Blanc",91,"27","Alsace","Alsace"
1573,"France","Gewurztraminer",91,"38","Alsace","Alsace"
1582,"France","Bordeaux-style White Blend",91,"35","Bordeaux","Sauternes"
1589,"France","Riesling",91,"36","Alsace","Alsace"
1608,"France","Bordeaux-style Red Blend",87,"19","Bordeaux","Médoc"
35803,"France","Chardonnay",84,"20","Burgundy","M√¢con-Villages"
1620,"France","Champagne Blend",91,"66","Champagne","Champagne"
1621,"France","Malbec",91,"45","Southwest France","Cahors"
1622,"France","Champagne Blend",91,"75","Champagne","Champagne"
1633,"France","Champagne Blend",90,"50","Champagne","Champagne"
1634,"France","Bordeaux-style Red Blend",90,"55","Bordeaux","Fronsac"
1635,"France","Bordeaux-style Red Blend",90,"20","Bordeaux","Haut-Médoc"
1636,"France","Bordeaux-style Red Blend",90,"45","Bordeaux","Saint-√âmilion"
1664,"France","Bordeaux-style Red Blend",88,"15","Southwest France","Buzet"
1667,"France","Red Blend",88,"12","Southwest France","Gaillac"
1668,"France","Bordeaux-style White Blend",88,"16","Southwest France","Bergerac Sec"
1669,"France","Red Blend",88,"45","Southwest France","Côtes du Marmandais"
46480,"France","Rosé",83,"14","Provence","Côtes de Provence"
1688,"France","Sauvignon Blanc",88,NULL,"Loire Valley","Pouilly-Fumé"
1689,"France","Sauvignon Blanc",88,"25","Loire Valley","Quincy"
1832,"France","Pinot Noir-Gamay",84,"12","Burgundy","Coteaux Bourguignons"
1696,"France","Chenin Blanc",88,NULL,"Loire Valley","Vouvray"
1697,"France","Bordeaux-style Red Blend",88,"21","Bordeaux","Côtes de Bourg"
1709,"France","Rosé",88,"28","Loire Valley","Sancerre"
1713,"France","Chardonnay",90,"35","Burgundy","Pouilly-Fuissé"
1727,"France","Pinot Noir",90,"55","Alsace","Alsace"
1728,"France","Chardonnay",90,"117","Burgundy","Beaune"
1730,"France","Rosé",90,"15","Bordeaux","Bordeaux Rosé"
1732,"France","Pinot Noir",90,"68","Burgundy","Savigny-l√®s-Beaune"
1735,"France","Pinot Noir",90,"60","Burgundy","Savigny-l√®s-Beaune"
1737,"France","Auxerrois",90,"32","Alsace","Alsace"
1738,"France","Pinot Noir",90,"20","Alsace","Alsace"
1739,"France","Pinot Blanc",90,"19","Alsace","Alsace"
1743,"France","Sauvignon Blanc",90,"20","Loire Valley","Sancerre"
1762,"France","Sauvignon Blanc",90,"26","Loire Valley","Sancerre"
1765,"France","Sauvignon Blanc",90,"30","Loire Valley","Sancerre"
1766,"France","Sauvignon Blanc",90,"26","Loire Valley","Sancerre"
1767,"France","Sauvignon Blanc",90,"50","Loire Valley","Pouilly-Fumé"
1768,"France","Sauvignon Blanc",90,NULL,"Loire Valley","Sancerre"
47105,"France","Bordeaux-style Red Blend",82,"22","Bordeaux","Castillon Côtes de Bordeaux"
1781,"France","Rosé",92,"45","Provence","Côtes de Provence Sainte-Victoire"
1782,"France","Rosé",92,"20","Provence","Coteaux d'Aix-en-Provence"
1783,"France","Rosé",92,"26","Provence","Côtes de Provence La Londe"
1793,"France","Red Blend",92,"28","Southwest France","Gaillac"
1830,"France","Rosé",84,"12","Southwest France","Côtes de Gascogne"
1838,"France","Chardonnay",84,"19","Burgundy","Bourgogne"
1843,"France","Rosé",84,"12","Southwest France","Bergerac Rosé"
1844,"France","Rosé",84,"11","Southwest France","Côtes du Lot"
1845,"France","Pinot Noir",84,"19","Burgundy","Bourgogne"
1867,"France","Riesling",91,"53","Alsace","Alsace"
1869,"France","Riesling",91,"17","Alsace","Alsace"
1871,"France","Bordeaux-style Red Blend",91,"19","Bordeaux","Médoc"
1876,"France","Bordeaux-style Red Blend",91,NULL,"Bordeaux","Castillon Côtes de Bordeaux"
1877,"France","Bordeaux-style Red Blend",91,"35","Bordeaux","Cadillac Côtes de Bordeaux"
1878,"France","Bordeaux-style Red Blend",91,"50","Bordeaux","Blaye Côtes de Bordeaux"
1879,"France","Bordeaux-style Red Blend",91,"16","Bordeaux","Blaye Côtes de Bordeaux"
1880,"France","Bordeaux-style Red Blend",91,"15","Bordeaux","Castillon Côtes de Bordeaux"
1881,"France","Bordeaux-style Red Blend",91,"16","Bordeaux","Blaye Côtes de Bordeaux"
1912,"France","Bordeaux-style Red Blend",87,"25","Bordeaux","Saint-√âmilion"
1913,"France","Bordeaux-style Red Blend",87,"14","Bordeaux","Médoc"
1914,"France","Bordeaux-style Red Blend",87,"18","Bordeaux","Médoc"
1915,"France","Bordeaux-style Red Blend",87,NULL,"Bordeaux","Pomerol"
1916,"France","Bordeaux-style Red Blend",87,"28","Bordeaux","Médoc"
1938,"France","Bordeaux-style Red Blend",90,NULL,"Bordeaux","Moulis-en-Médoc"
1939,"France","Malbec",90,"44","Southwest France","Cahors"
1940,"France","Gamay",90,"30","Beaujolais","Brouilly"
1961,"France","Rosé",88,NULL,"Rhône Valley","Costières de Nîmes"
1965,"France","Negrette",88,"19","Southwest France","Fronton"
1979,"France","Red Blend",88,"12","Southwest France","Côtes de Gascogne"
1981,"France","Sauvignon Blanc",88,"23","Loire Valley","Sancerre"
1990,"France","Cabernet Franc",88,NULL,"Loire Valley","Chinon"
2001,"France","Bordeaux-style Red Blend",88,NULL,"Bordeaux","Saint-√âmilion"
2002,"France","Bordeaux-style Red Blend",88,"15","Bordeaux","Côtes de Bourg"
2003,"France","Bordeaux-style Red Blend",88,"22","Bordeaux","Blaye Côtes de Bordeaux"
2004,"France","Bordeaux-style Red Blend",88,"35","Bordeaux","Médoc"
2005,"France","Bordeaux-style White Blend",88,"15","Bordeaux","Bordeaux Blanc"
2009,"France","Sauvignon Blanc",87,"20","Loire Valley","Quincy"
2010,"France","Auxerrois",90,"22","Alsace","Alsace"
2012,"France","Pinot Noir",90,"25","Alsace","Alsace"
2030,"France","Pinot Noir",90,NULL,"Burgundy","Marsannay"
2031,"France","Pinot Noir",90,NULL,"Burgundy","Beaune"
2032,"France","Pinot Blanc",90,"23","Alsace","Alsace"
2042,"France","Red Blend",92,"99","Southwest France","Saint-Mont"
2047,"France","Rosé",92,"17","Provence","Côtes de Provence"
2048,"France","Rosé",92,"48","Provence","Côtes de Provence La Londe"
2053,"France","Malbec",92,NULL,"Southwest France","Cahors"
2055,"France","Rosé",92,"52","Provence","Côtes de Provence"
2061,"France","Rosé",92,"34","Provence","Côtes de Provence"
2062,"France","Provence red blend",92,"38","Provence","Bandol"
2067,"France","Rosé",92,"35","Provence","Côtes de Provence"
2081,"France","Rhône-style White Blend",89,"39","Rhône Valley","Châteauneuf-du-Pape"
2082,"France","Rhône-style Red Blend",89,"16","Rhône Valley","Côtes du Rhône Villages"
2094,"France","Sauvignon Blanc",89,"25","Loire Valley","Pouilly-Fumé"
2100,"France","Malbec-Merlot",90,"16","Southwest France","Cahors"
2102,"France","Malbec-Merlot",90,"21","Southwest France","Cahors"
2164,"France","Bordeaux-style Red Blend",87,NULL,"Bordeaux","Bordeaux Supérieur"
2113,"France","Sauvignon Blanc",90,"25","Loire Valley","Pouilly-Fumé"
2120,"France","Chardonnay",90,"55","Burgundy","Pouilly-Fuissé"
2145,"France","Bordeaux-style White Blend",100,"848","Bordeaux","Pessac-Léognan"
2151,"France","Bordeaux-style Red Blend",97,"130","Bordeaux","Pomerol"
2152,"France","Bordeaux-style Red Blend",97,"150","Bordeaux","Saint-Julien"
2153,"France","Bordeaux-style Red Blend",97,NULL,"Bordeaux","Margaux"
2154,"France","Bordeaux-style White Blend",97,NULL,"Bordeaux","Pessac-Léognan"
2155,"France","Bordeaux-style Red Blend",97,"450","Bordeaux","Margaux"
2156,"France","Bordeaux-style Red Blend",97,NULL,"Bordeaux","Saint-Estèphe"
2157,"France","Bordeaux-style White Blend",97,NULL,"Bordeaux","Pessac-Léognan"
2158,"France","Bordeaux-style Red Blend",97,NULL,"Bordeaux","Saint-√âmilion"
2159,"France","Bordeaux-style Red Blend",97,"330","Bordeaux","Pessac-Léognan"
2189,"France","Bordeaux-style Red Blend",86,"27","Bordeaux","Graves"
2198,"France","Rhône-style White Blend",88,"16","Rhône Valley","Côtes du Rhône Villages"
2201,"France","Rhône-style Red Blend",88,"10","Rhône Valley","Côtes du Rhône"
2204,"France","Rhône-style Red Blend",88,"16","Rhône Valley","Côtes du Rhône"
2221,"France","Champagne Blend",90,"89","Champagne","Champagne"
2229,"France","Pinot Noir",90,NULL,"Burgundy","Beaune"
2237,"France","Bordeaux-style Red Blend",90,NULL,"Bordeaux","Saint-√âmilion"
2238,"France","Bordeaux-style Red Blend",90,"65","Bordeaux","Saint-√âmilion"
2239,"France","Merlot",90,"25","Bordeaux","Bordeaux Supérieur"
2242,"France","Pinot Noir",90,"82","Burgundy","Savigny-l√®s-Beaune"
2243,"France","Gamay",90,"23","Beaujolais","Morgon"
2247,"France","Gamay",90,"22","Beaujolais","Moulin-√†-Vent"
2251,"France","Bordeaux-style Red Blend",87,"25","Bordeaux","Côtes de Bourg"
2263,"France","Pinot Noir-Gamay",87,"20","Loire Valley","Châteaumeillant"
2264,"France","Sauvignon Blanc",87,"14","Loire Valley","Touraine"
2268,"France","Chenin Blanc",87,NULL,"Loire Valley","Saumur"
2269,"France","Melon",87,"17","Loire Valley","MUnited Statescadet Sèvre et Maine"
2270,"France","Bordeaux-style White Blend",87,"16","Bordeaux","Bordeaux Blanc"
2271,"France","Bordeaux-style White Blend",87,NULL,"Bordeaux","Pessac-Léognan"
2273,"France","Sauvignon Blanc",87,"16","Bordeaux","Côtes de Bourg"
2298,"France","Riesling",91,NULL,"Alsace","Alsace"
2311,"France","Chardonnay",90,"55","Burgundy","Pouilly-Fuissé"
2320,"France","Malbec-Merlot",90,"16","Southwest France","Cahors"
2334,"France","Gros and Petit Manseng",90,NULL,"Southwest France","Pacherenc du Vic Bilh"
2357,"France","Provence red blend",92,"38","Provence","Bandol"
2359,"France","Provence red blend",92,"38","Provence","Côtes de Provence"
2360,"France","Malbec-Merlot",92,"34","Southwest France","Cahors"
