id,title,country,points,price,province,variety,winery
32,C. von Nell-Breuning 1995 Kaseler Dominikanerberg SpÃƒÂ¤tlese Riesling (Mosel),Germany,90,$27.00 ,Mosel,Riesling,C. von Nell-Breuning
33,Middelvlei 1995 Cabernet Sauvignon (Stellenbosch),South Africa,87,$17.00 ,Stellenbosch,Cabernet Sauvignon,Middelvlei
34,Handley 1995 Brut (Anderson Valley),US,88,$25.00 ,California,Champagne Blend,Handley
35,Castillo de Almansa 1995 Reserva Red (Almansa),Spain,84,$10.00 ,Central Spain,Red Blend,Castillo de Almansa
36,Meridian 1996 Coastal Reserve Cabernet Sauvignon (California),US,83,$22.00 ,California,Cabernet Sauvignon,Meridian
37,Covey Run 1996 Whiskey Canyon Vyd Cabernet Sauvignon (Yakima Valley),US,84,$29.00 ,Washington,Cabernet Sauvignon,Covey Run
38,ChÃƒÂ¢teau Souverain 1996 Winemaker's Reserve Cabernet Sauvignon (Sonoma County),US,88,$35.00 ,California,Cabernet Sauvignon,ChÃƒÂ¢teau Souverain
39,S. Anderson 1996 Brut (Napa Valley),US,86,$28.00 ,California,Champagne Blend,S. Anderson
40,Royal Tokaji 1996 Szt. TamÃƒÂ¡s AszÃƒÂº 6 Puttonyos (Tokaji),Hungary,91,$77.00 ,Tokaji,Tokaji,Royal Tokaji
41,Querceto 1996 Riserva (Chianti Classico),Italy,84,$18.00 ,Tuscany,Sangiovese,Querceto
42,Duval-Leroy 1996 CuvÃƒÂ©e Femme Brut (Champagne),France,95,$120.00 ,Champagne,Champagne Blend,Duval-Leroy
43,Ruinart 1996 Dom Ruinart Brut RosÃƒÂ© (Champagne),France,92,NULL,Champagne,Champagne Blend,Ruinart
44,Castillo Catadau 1996 Reserva Red (Valencia),Spain,85,$9.00 ,Levante,Tempranillo Blend,Castillo Catadau
45,Pascal Doquet 1996 Le Mesnil sur Oger Grand Cru Blanc de Blancs Brut Chardonnay (Champagne),France,94,NULL,Champagne,Chardonnay,Pascal Doquet
46,Castellare 1996 Riserva (Chianti Classico),Italy,83,$26.00 ,Tuscany,Sangiovese,Castellare
47,Kunde 1996 Drummond Vineyard Cabernet Sauvignon (Sonoma Valley),US,87,$24.00 ,California,Cabernet Sauvignon,Kunde
48,Stonehaven 1996 Reserve Shiraz (Padthaway),Australia,88,$46.00 ,South Australia,Shiraz,Stonehaven
49,Bruno Giacosa 1996 Dino Nero Spumante (Piedmont),Italy,90,$36.00 ,Piedmont,Champagne Blend,Bruno Giacosa
50,Senhora do Convento 1996 Late Bottled Vintage (Port),Portugal,91,NULL,Port,Port,Senhora do Convento
51,Bell 1997 Baritelle Vyd Cabernet Sauvignon (Rutherford),US,90,$60.00 ,California,Cabernet Sauvignon,Bell
52,Inniskillin 1997 Oak Aged Ice Wine Vidal Blanc (Niagara Peninsula),Canada,89,$80.00 ,Ontario,Vidal Blanc,Inniskillin
53,Iron Horse 1997 Joy! Blanc de Blancs Sparkling (Green Valley),US,97,$179.00 ,California,Sparkling Blend,Iron Horse
54,Lafond 1997 Lafond Vineyard Pinot Noir (Santa Ynez Valley),US,82,$35.00 ,California,Pinot Noir,Lafond
55,Valentina Cubi 1997 Morar (Amarone della Valpolicella Classico),Italy,91,$50.00 ,Veneto,"Corvina, Rondinella, Molinara",Valentina Cubi
56,Frank Family 1997 Brut Champagne Sparkling (Carneros),US,92,$65.00 ,California,Sparkling Blend,Frank Family
9729,Sawtooth 2010 Skyline Red,US,88,$11.00 ,Idaho,Red Blend,Sawtooth
57,Karl Lawrence 1997 Cabernet Sauvignon (Napa Valley),US,89,$40.00 ,California,Cabernet Sauvignon,Karl Lawrence
58,Domaine Laroche 1997 Les Blanchots (Chablis),France,92,$85.00 ,Burgundy,Chardonnay,Domaine Laroche
59,Clos du Val 1997 Cabernet Sauvignon (Stags Leap District),US,90,$48.00 ,California,Cabernet Sauvignon,Clos du Val
60,Chateau Lafayette Reneau 1997 Blanc de Blancs (Finger Lakes),US,87,$30.00 ,New York,Champagne Blend,Chateau Lafayette Reneau
61,Castello di MontepÃƒÂ² 1997 Montepaone Cabernet Sauvignon (Toscana),Italy,89,$45.00 ,Tuscany,Cabernet Sauvignon,Castello di MontepÃƒÂ²
62,Valley of the Moon 1997 Zinfandel (Sonoma Valley),US,88,$15.00 ,California,Zinfandel,Valley of the Moon
63,Renwood 1997 GrandmÃƒÂ©re Zinfandel (Amador County),US,81,$25.00 ,California,Zinfandel,Renwood
64,Robert Mondavi 1997 Merlot (Carneros),US,87,$35.00 ,California,Merlot,Robert Mondavi
65,Raymond 1997 Generations Cabernet Sauvignon (Napa Valley),US,91,$65.00 ,California,Cabernet Sauvignon,Raymond
66,Podere La Cappella 1997 Querciolo Riserva (Chianti Classico),Italy,84,$22.00 ,Tuscany,Sangiovese,Podere La Cappella
67,Peju 1997 Estate Bottled Reserve Cabernet Sauvignon (Rutherford),US,90,$95.00 ,California,Cabernet Sauvignon,Peju
68,AJB Vineyards 1997 Syrah (Paso Robles),US,90,$21.00 ,California,Syrah,AJB Vineyards
69,Chimney Rock 1997 Cabernet Sauvignon (Napa Valley),US,91,$40.00 ,California,Cabernet Sauvignon,Chimney Rock
70,Meeker 1997 Gold Leaf Cuvee Zinfandel (Dry Creek Valley),US,82,$18.00 ,California,Zinfandel,Meeker
71,Clos Pegase 1997 Cabernet Sauvignon (Napa Valley),US,90,$30.00 ,California,Cabernet Sauvignon,Clos Pegase
72,La Gerla 1997 Brunello di Montalcino,Italy,93,$55.00 ,Tuscany,Sangiovese,La Gerla
73,Tenuta Caparzo 1997 Brunello di Montalcino,Italy,92,$65.00 ,Tuscany,Sangiovese,Tenuta Caparzo
74,Villa La Selva 1997 Selvamaggio Cabernet Sauvignon (Toscana),Italy,88,$27.00 ,Tuscany,Cabernet Sauvignon,Villa La Selva
75,Freemark Abbey 1997 Sycamore Vineyards Cabernet Sauvignon (Napa Valley),US,91,$59.00 ,California,Cabernet Sauvignon,Freemark Abbey
76,Tenuta di Sesta 1997 Brunello di Montalcino,Italy,94,$45.00 ,Tuscany,Sangiovese,Tenuta di Sesta
77,Ahlgren 1997 Bates' Ranch Cabernet Sauvignon (Santa Cruz Mountains),US,90,$35.00 ,California,Cabernet Sauvignon,Ahlgren
78,Korbel 1997 Master's Reserve Blanc de Noir (Russian River Valley),US,82,$14.00 ,California,Champagne Blend,Korbel
79,Rodney Strong 1997 Cabernet Sauvignon (Sonoma County),US,88,$16.00 ,California,Cabernet Sauvignon,Rodney Strong
80,Sausal 1997 Century Vines Zinfandel (Sonoma County),US,90,$22.00 ,California,Zinfandel,Sausal
81,Schramsberg 1997 J. Schram Late Disgorged 150th Anniversary Release Sparkling (Napa-Monterey-Mendocino),US,96,$200.00 ,California,Sparkling Blend,Schramsberg
82,Jacob's Creek 1997 Limited Release Chardonnay (Padthaway),Australia,90,$38.00 ,South Australia,Chardonnay,Jacob's Creek
83,Iron Horse 1997 Wedding CuvÃƒÂ©e Brut (Green Valley),US,90,$28.00 ,California,Champagne Blend,Iron Horse
84,Palmer 1997 Merlot (North Fork of Long Island),US,83,$18.00 ,New York,Merlot,Palmer
85,Langtry 1997 Meritage Red (North Coast),US,91,$50.00 ,California,Bordeaux-style Red Blend,Langtry
86,Cornaleto 1997 Brut Riserva Sparkling (Franciacorta),Italy,85,$28.00 ,Lombardy,Sparkling Blend,Cornaleto
87,Thunder Mountain 1997 Bates Ranch Cabernet Sauvignon (Santa Cruz Mountains),US,89,$48.00 ,California,Cabernet Sauvignon,Thunder Mountain
88,Stonestreet 1997 Christopher's Vineyard Cabernet Sauvignon (Sonoma County),US,90,$70.00 ,California,Cabernet Sauvignon,Stonestreet
89,Merryvale 1997 Reserve Cabernet Sauvignon (Napa Valley),US,89,$39.00 ,California,Cabernet Sauvignon,Merryvale
90,Titus 1997 Cabernet Sauvignon (Napa Valley),US,91,$32.00 ,California,Cabernet Sauvignon,Titus
91,Nicolas Feuillatte 1997 Palmes d'Or (Champagne),France,91,$120.00 ,Champagne,Champagne Blend,Nicolas Feuillatte
92,Herzog 1997 Special Edition Warnecke Vyd Cabernet Sauvignon (Chalk Hill),US,89,$42.00 ,California,Cabernet Sauvignon,Herzog
93,Schramsberg 1997 Blanc de Blancs (Napa Valley),US,84,$29.00 ,California,Champagne Blend,Schramsberg
94,The Terraces 1997 Cabernet Sauvignon (Napa Valley),US,89,$60.00 ,California,Cabernet Sauvignon,The Terraces
95,Newlan 1997 Wallstrum Family Zinfandel (Sonoma County),US,83,$20.00 ,California,Zinfandel,Newlan
96,Sequoia Grove 1997 Reserve Cabernet Sauvignon (Napa Valley),US,94,$42.00 ,California,Cabernet Sauvignon,Sequoia Grove
97,Principe Corsini Fattoria Le Corti 1997 Sant'Andrea Corsini (Vin Santo del Chianti Classico),Italy,97,NULL,Tuscany,White Blend,Principe Corsini Fattoria Le Corti
98,Guenoc 1997 Reserve Bella Vista Vineyard Cabernet Sauvignon (Napa Valley),US,88,$41.00 ,California,Cabernet Sauvignon,Guenoc
99,Treana 1997 Red (Central Coast),US,88,$35.00 ,California,RhÃƒÂ´ne-style Red Blend,Treana
100,Shafer 1997 Cabernet Sauvignon (Napa Valley),US,89,$45.00 ,California,Cabernet Sauvignon,Shafer
101,Ruffino 1997 Greppone Mazzi (Brunello di Montalcino),Italy,90,$60.00 ,Tuscany,Sangiovese,Ruffino
102,Hartwell 1997 Sunshine Vyd Cabernet Sauvignon (Stags Leap District),US,93,$95.00 ,California,Cabernet Sauvignon,Hartwell
103,Lewis 1997 Reserve Cabernet Sauvignon (Napa Valley),US,96,$60.00 ,California,Cabernet Sauvignon,Lewis
104,Far Niente 1997 Cabernet Sauvignon (Napa Valley),US,93,$100.00 ,California,Cabernet Sauvignon,Far Niente
105,Peterson 1997 Bradford Mountain Zinfandel (Dry Creek Valley),US,91,$21.00 ,California,Zinfandel,Peterson
106,Kendall-Jackson 1997 Buckeye Vyd Cabernet Sauvignon (Sonoma County),US,90,$45.00 ,California,Cabernet Sauvignon,Kendall-Jackson
107,Wattle Creek 1997 Cabernet Sauvignon (Sonoma County),US,90,$50.00 ,California,Cabernet Sauvignon,Wattle Creek
108,VinArte 1998 Chianti,Italy,84,$7.00 ,Tuscany,Sangiovese,VinArte
109,Stag's Leap Wine Cellars 1998 Fay Vineyard Cabernet Sauvignon (Napa Valley),US,93,$75.00 ,California,Cabernet Sauvignon,Stag's Leap Wine Cellars
110,Middelvlei 1998 Red (Stellenbosch),South Africa,86,$16.00 ,Stellenbosch,Red Blend,Middelvlei
111,Alderbrook 1998 OVOC Zinfandel (Sonoma County),US,90,$18.00 ,California,Zinfandel,Alderbrook
112,Carmel 1998 Vineyards Selected Shiraz (Shomron),Israel,82,$12.00 ,Shomron,Shiraz,Carmel
113,Kunde 1998 C.S. Ridge Vineyard Chardonnay (California),US,90,$20.00 ,California,Chardonnay,Kunde
114,Kunde 1998 Shaw Vineyard Century Vines Zinfandel (Sonoma Valley),US,90,$24.00 ,California,Zinfandel,Kunde
115,Castello di Borghese 1998 Hargrave Vineyard Pinot Noir (North Fork of Long Island),US,84,$35.00 ,New York,Pinot Noir,Castello di Borghese
116,La Bete 1998 Knight's Gambit Vyd Pinot Noir (Willamette Valley),US,92,$40.00 ,Oregon,Pinot Noir,La Bete
117,Lolonis 1998 Zinfandel (Redwood Valley),US,88,$20.00 ,California,Zinfandel,Lolonis
118,Barton & Guestier 1998 Red (ChÃƒÂ¢teauneuf-du-Pape),France,88,$23.00 ,RhÃƒÂ´ne Valley,RhÃƒÂ´ne-style Red Blend,Barton & Guestier
119,ChÃƒÂ¢teau Mas Neuf 1998 Prestige des Gibelins Red (CostiÃƒÂ¨res de NÃƒÂ®mes),France,88,$15.00 ,RhÃƒÂ´ne Valley,RhÃƒÂ´ne-style Red Blend,ChÃƒÂ¢teau Mas Neuf
120,Brophy Clark 1998 Pinot Noir (Santa Maria Valley),US,85,$20.00 ,California,Pinot Noir,Brophy Clark
121,Ruinart 1998 Dom Ruinart Brut RosÃƒÂ© (Champagne),France,95,$275.00 ,Champagne,Champagne Blend,Ruinart
122,Otanon 1998 Crianza 1998 (Rioja),Spain,86,$14.00 ,Northern Spain,Red Blend,Otanon
123,Vranken 1998 Diamant RosÃƒÂ© Brut (Champagne),France,86,$160.00 ,Champagne,Champagne Blend,Vranken
124,Cristom 1998 Marjorie Vineyards Pinot Noir (Willamette Valley),US,92,$39.00 ,Oregon,Pinot Noir,Cristom
125,Penfolds 1998 Bin 128 Shiraz (Coonawarra),Australia,90,$22.00 ,South Australia,Shiraz,Penfolds
126,Rodney Strong 1998 Alexander's Crown Vineyard Cabernet Sauvignon (Alexander Valley),US,86,$28.00 ,California,Cabernet Sauvignon,Rodney Strong
127,St. Francis 1998 Old Vines Zinfandel (Sonoma County),US,91,$25.00 ,California,Zinfandel,St. Francis
128,Caymus 1998 Cabernet Sauvignon (Napa Valley),US,89,$70.00 ,California,Cabernet Sauvignon,Caymus
129,Ventana 1998 Merlot (Monterey),US,89,$16.00 ,California,Merlot,Ventana
130,Elisabetta 1998 Le Marze Red (Toscana),Italy,89,$40.00 ,Tuscany,Bordeaux-style Red Blend,Elisabetta
131,Badia di Morrona 1998 I Sodi del Paretaio (Chianti),Italy,83,$11.00 ,Tuscany,Sangiovese,Badia di Morrona
132,Kiona 1998 Merlot (Columbia Valley (WA)),US,87,$20.00 ,Washington,Merlot,Kiona
133,Merryvale 1998 Silhouette Chardonnay (California),US,89,$55.00 ,California,Chardonnay,Merryvale
134,Fleur Du Cap 1998 Unfiltered Merlot (Coastal Region),South Africa,85,$15.00 ,Coastal Region,Merlot,Fleur Du Cap
135,Nando 1998 Chianti Classico,Italy,83,$11.00 ,Tuscany,Sangiovese,Nando
136,Kunde 1998 Wildwood Vineyard Chardonnay (California),US,88,$20.00 ,California,Chardonnay,Kunde
137,Dallas ContÃƒÂ© 1998 Chardonnay (Colchagua Valley),Chile,89,$10.00 ,Colchagua Valley,Chardonnay,Dallas ContÃƒÂ©
138,Panther Creek 1998 Bednarik Vineyard Pinot Noir (Willamette Valley),US,92,$48.00 ,Oregon,Pinot Noir,Panther Creek
139,Stag's Leap Wine Cellars 1998 Reserve Chardonnay (Napa Valley),US,89,$45.00 ,California,Chardonnay,Stag's Leap Wine Cellars
140,Rodney Strong 1998 Estate Vineyards Merlot (Alexander Valley),US,85,$26.00 ,California,Merlot,Rodney Strong
141,Kenwood 1998 Jack London Vineyard Zinfandel (Sonoma Valley),US,86,$20.00 ,California,Zinfandel,Kenwood
142,Cecchi 1998 Chianti Classico,Italy,84,$12.00 ,Tuscany,Sangiovese,Cecchi
143,Silvan Ridge 1998 Pinot Noir (Willamette Valley),US,87,$22.00 ,Oregon,Pinot Noir,Silvan Ridge
144,Columbia Winery 1998 Red Willow Vyd Sangiovese (Yakima Valley),US,90,$18.00 ,Washington,Sangiovese,Columbia Winery
145,Louis Latour 1998 ChÃƒÂ¢teau de Blagny Premier Cru (Meursault),France,88,$45.00 ,Burgundy,Chardonnay,Louis Latour
146,Plaisir De Merle 1998 Merlot (Paarl),South Africa,86,$22.00 ,Paarl,Merlot,Plaisir De Merle
147,Panther Creek 1998 Shea Vineyard Pinot Noir (America),US,94,$48.00 ,America,Pinot Noir,Panther Creek
148,Glen Ellen 1998 Reserve Cabernet Sauvignon (California),US,83,$7.00 ,California,Cabernet Sauvignon,Glen Ellen
149,Martinez Bujanda 1998 Conde de Valdemar Crianza 1998 (Rioja),Spain,86,$9.00 ,Northern Spain,Tempranillo,Martinez Bujanda
150,Hoodsport 1998 Chenin Blanc (Yakima Valley),US,81,$9.00 ,Washington,Chenin Blanc,Hoodsport
151,Niepoort 1998 Colheita (Port),Portugal,93,$53.00 ,Port,Port,Niepoort
152,Wagner 1998 Ice Wine Vidal Blanc (Finger Lakes),US,81,$18.00 ,New York,Vidal Blanc,Wagner
153,Brophy Clark 1998 Pinot Noir (Arroyo Grande Valley),US,89,$18.00 ,California,Pinot Noir,Brophy Clark
154,Duck Pond 1998 Pinot Noir (Willamette Valley),US,83,$9.00 ,Oregon,Pinot Noir,Duck Pond
155,Castello Banfi 1998 Excelsus Red (Sant'Antimo),Italy,90,$73.00 ,Tuscany,Bordeaux-style Red Blend,Castello Banfi
156,Carmel 1998 Private Collection Merlot (Judean Hills),Israel,84,$12.00 ,Judean Hills,Merlot,Carmel
157,Evesham Wood 1998 Pinot Noir (Willamette Valley),US,87,$15.00 ,Oregon,Pinot Noir,Evesham Wood
158,Babcock 1998 Fathom Red (Santa Barbara County),US,89,$30.00 ,California,Bordeaux-style Red Blend,Babcock
159,CousiÃƒÂ±o-Macul 1998 Reserva Merlot (Maipo Valley),Chile,86,$15.00 ,Maipo Valley,Merlot,CousiÃƒÂ±o-Macul
160,Castello Banfi 1998 Colvecchio Syrah (Sant'Antimo),Italy,86,$36.00 ,Tuscany,Syrah,Castello Banfi
161,Lucente 1998 Sangiovese (Toscana),Italy,89,$28.00 ,Tuscany,Sangiovese,Lucente
162,CÃƒÂ¡lem 1998 Colheita (Port),Portugal,87,$22.00 ,Port,Port,CÃƒÂ¡lem
163,Hoodsport 1998 Chardonnay (Yakima Valley),US,82,$11.00 ,Washington,Chardonnay,Hoodsport
164,Kenwood 1998 Zinfandel (Sonoma County),US,85,$15.00 ,California,Zinfandel,Kenwood
165,Palmer 1998 Estate Pinot Blanc (North Fork of Long Island),US,83,$13.00 ,New York,Pinot Blanc,Palmer
166,Adelsheim 1998 AVS Pinot Noir (Willamette Valley),US,91,$40.00 ,Oregon,Pinot Noir,Adelsheim
167,Pindar Vineyards 1998 Peacock Chardonnay (Long Island),US,84,$9.00 ,New York,Chardonnay,Pindar Vineyards
168,Laurel Lake 1998 Reserve Cabernet Sauvignon (North Fork of Long Island),US,82,$18.00 ,New York,Cabernet Sauvignon,Laurel Lake
169,Siduri 1998 Muirfield Vineyard Pinot Noir (California),US,90,$48.00 ,California,Pinot Noir,Siduri
170,Talley 1998 Pinot Noir (Arroyo Grande Valley),US,86,$28.00 ,California,Pinot Noir,Talley
171,Tobin James 1998 James Gang Reserve Zinfandel (Paso Robles),US,87,$26.00 ,California,Zinfandel,Tobin James
172,William Hill Estate 1998 Cabernet Sauvignon (Napa Valley),US,87,$22.00 ,California,Cabernet Sauvignon,William Hill Estate
173,Carpineto 1998 Riserva (Chianti Classico),Italy,90,$22.00 ,Tuscany,Sangiovese,Carpineto
174,Bethel Heights 1998 Southeast Block Reserve Pinot Noir (Willamette Valley),US,90,$35.00 ,Oregon,Pinot Noir,Bethel Heights
175,Barefoot Cellars 1998 Reserve Pinot Noir (Sonoma County),US,86,$15.00 ,California,Pinot Noir,Barefoot Cellars
176,Francisco Gillmore 1998 Concepcion Reserva Cabernet Sauvignon (Maule Valley),Chile,86,$11.00 ,Maule Valley,Cabernet Sauvignon,Francisco Gillmore
177,Nicolas Feuillatte 1998 Chardonnay Blanc de Blancs Brut Chardonnay (Champagne),France,89,$40.00 ,Champagne,Chardonnay,Nicolas Feuillatte
178,Cristom 1998 Louise Vineyard Pinot Noir (Willamette Valley),US,88,$39.00 ,Oregon,Pinot Noir,Cristom
179,Limerick Lane 1998 Collins Vineyard Zinfandel (Russian River Valley),US,90,$26.00 ,California,Zinfandel,Limerick Lane
180,Quintas de MelgaÃƒÂ§o 1998 Couto de Frades Alvarinho (Vinho Verde),Portugal,85,$10.00 ,Vinho Verde,Alvarinho,Quintas de MelgaÃƒÂ§o
181,ChÃƒÂ¢teau Souverain 1998 Winemaker's Reserve Zinfandel (Dry Creek Valley),US,89,$25.00 ,California,Zinfandel,ChÃƒÂ¢teau Souverain
182,Laleure-Piot 1998 Premier Cru Les Vergelesses (Pernand-Vergelesses),France,92,$33.00 ,Burgundy,Pinot Noir,Laleure-Piot
183,Louis BarthÃƒÂ©lÃƒÂ©my 1998 Brut Saphir 1.5 liters (Champagne),France,92,NULL,Champagne,Champagne Blend,Louis BarthÃƒÂ©lÃƒÂ©my
184,Poliziano 1998 Vino Nobile di Montepulciano,Italy,87,$29.00 ,Tuscany,Sangiovese,Poliziano
185,Stonehaven 1998 Shiraz (South Eastern Australia),Australia,88,$9.00 ,Australia Other,Shiraz,Stonehaven
186,Longridge 1998 Pinotage (Stellenbosch),South Africa,87,$20.00 ,Stellenbosch,Pinotage,Longridge
187,Vigil 1998 Marissa Vineyard Zinfandel (California),US,85,$16.00 ,California,Zinfandel,Vigil
188,Louis Latour 1998 Les Referts Premier Cru (Puligny-Montrachet),France,92,$55.00 ,Burgundy,Chardonnay,Louis Latour
189,Sobon Estate 1998 Zinfandel (Fiddletown),US,85,$18.00 ,California,Zinfandel,Sobon Estate
190,Beringer 1998 Cabernet Sauvignon (Knights Valley),US,87,$25.00 ,California,Cabernet Sauvignon,Beringer
191,Archery Summit 1998 Premier CuvÃƒÂ©e Pinot Noir (Oregon),US,90,$39.00 ,Oregon,Pinot Noir,Archery Summit
192,Iron Horse 1998 Thomas Road Vineyard Pinot Noir (Sonoma County),US,90,$50.00 ,California,Pinot Noir,Iron Horse
193,Glen Ellen 1998 Reserve White Zinfandel (California),US,83,$7.00 ,California,Zinfandel,Glen Ellen
194,Calvet 1998 Reserve (Bordeaux Blanc),France,88,$10.00 ,Bordeaux,Bordeaux-style White Blend,Calvet
195,Piccini 1998 Chianti Classico,Italy,84,$11.00 ,Tuscany,Sangiovese,Piccini
196,Talus 1998 Zinfandel (California),US,85,$8.00 ,California,Zinfandel,Talus
197,Argyle 1998 Spirit House Pinot Noir (Willamette Valley),US,88,$50.00 ,Oregon,Pinot Noir,Argyle
198,Rosenblum 1998 Rockpile Road Zinfandel (Dry Creek Valley),US,90,$19.00 ,California,Zinfandel,Rosenblum
199,Savannah-Chanelle 1998 Zinfandel (Paso Robles),US,87,$22.00 ,California,Zinfandel,Savannah-Chanelle
200,Dry Creek Vineyard 1998 Old Vines Zinfandel (Sonoma County),US,86,$19.00 ,California,Zinfandel,Dry Creek Vineyard
201,Portal Del Alto 1998 Reserva Cabernet Sauvignon (Maipo Valley),Chile,85,$12.00 ,Maipo Valley,Cabernet Sauvignon,Portal Del Alto
202,Undurraga 1998 Reserva Cabernet Sauvignon (Maipo Valley),Chile,82,$12.00 ,Maipo Valley,Cabernet Sauvignon,Undurraga
203,Val delle Rose 1998 Riserva (Morellino di Scansano),Italy,88,$19.00 ,Tuscany,Sangiovese,Val delle Rose
204,Henriot 1998 MillÃƒÂ©simÃƒÂ© Brut (Champagne),France,93,$95.00 ,Champagne,Champagne Blend,Henriot
205,Secret House 1998 Pinot Noir (Willamette Valley),US,84,$22.00 ,Oregon,Pinot Noir,Secret House
206,Geyser Peak 1998 Reserve Late Harvest Riesling (Dry Creek Valley),US,86,$19.00 ,California,Riesling,Geyser Peak
207,ChÃƒÂ¢teau Val Joanis 1998 Estate Bottled Red (CÃƒÂ´tes du Luberon),France,87,$10.00 ,RhÃƒÂ´ne Valley,RhÃƒÂ´ne-style Red Blend,ChÃƒÂ¢teau Val Joanis
208,Hargrave 1998 Merlot (North Fork of Long Island),US,82,$18.00 ,New York,Merlot,Hargrave
209,Alain Jaume et Fils 1998 Domaine Grand Veneur Red (CÃƒÂ´tes du RhÃƒÂ´ne),France,86,$9.00 ,RhÃƒÂ´ne Valley,RhÃƒÂ´ne-style Red Blend,Alain Jaume et Fils
210,Sonoma Creek 1998 Pinot Noir (Sonoma County),US,82,$15.00 ,California,Pinot Noir,Sonoma Creek
211,Adelsheim 1998 Bryan Creek Vineyard Pinot Noir (Willamette Valley),US,88,$40.00 ,Oregon,Pinot Noir,Adelsheim
